buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,houseType,monthlyRent,preDeposit,preMonthlyRent,sggCd,totalFloorAr,umdNm,useRRRight
,, ,30,9,2011,"7,500",다가구,0,,,11410,52.1,남가좌동, 
1996,, ,26,9,2011,"4,500",다가구,0,,,11410,23,북아현동, 
1992,, ,14,10,2011,500,단독,40,,,11410,46.41,연희동, 
1989,, ,21,10,2011,500,단독,20,,,11410,29.6,남가좌동, 
1979,, ,15,10,2011,"1,000",단독,45,,,11410,28.3,홍은동, 
2012,, ,13,10,2011,410,단독,40,,,11410,33,홍은동, 
1993,, ,29,10,2011,"3,000",단독,0,,,11410,22.4,북아현동, 
1992,, ,14,10,2011,500,단독,40,,,11410,46.41,연희동, 
1966,, ,1,10,2011,"10,000",단독,0,,,11410,56.76,연희동, 
1983,, ,31,10,2011,"7,000",단독,0,,,11410,67.5,북가좌동, 
2004,, ,19,10,2011,"10,000",단독,0,,,11410,55.26,북아현동, 
1991,, ,25,10,2011,"1,000",단독,50,,,11410,44.76,홍은동, 
1992,11.11~13.11,신규,24,11,2011,"1,000",단독,20,,,11410,15,홍은동, 
1990,, ,17,11,2011,"6,000",단독,0,,,11410,56.18,북가좌동, 
2003,, ,15,11,2011,100,다가구,33,,,11410,10,북아현동, 
1995,, ,26,11,2011,"5,000",다가구,0,,,11410,45,홍제동, 
1974,, ,16,11,2011,"14,000",단독,0,,,11410,94.47,홍제동, 
1988,, ,30,11,2011,500,다가구,50,,,11410,39.67,창천동, 
1993,, ,2,11,2011,"6,000",다가구,0,,,11410,66.06,창천동, 
1992,, ,9,11,2011,"1,000",다가구,35,,,11410,18.34,북아현동, 
1991,, ,25,11,2011,500,다가구,25,,,11410,25,남가좌동, 
1987,, ,21,11,2011,"5,000",단독,0,,,11410,65.52,창천동, 
1989,, ,24,12,2011,"3,500",단독,27,,,11410,41.19,남가좌동, 
1997,, ,10,12,2011,500,다가구,50,,,11410,25,연희동, 
1991,, ,19,12,2011,"2,000",단독,50,,,11410,50,홍제동, 
1965,, ,3,12,2011,"5,000",단독,30,,,11410,49.79,홍제동, 
1994,, ,12,12,2011,"12,000",다가구,0,,,11410,63.15,북가좌동, 
1992,, ,22,12,2011,"12,000",단독,0,,,11410,77.76,창천동, 
1991,, ,27,12,2011,"1,000",다가구,40,,,11410,66.57,북가좌동, 
1970,, ,31,12,2011,"7,000",단독,0,,,11410,46.68,북아현동, 
1991,, ,30,12,2011,500,다가구,38,,,11410,47.81,북아현동, 
1990,, ,17,12,2011,"2,500",단독,25,,,11410,40,홍제동, 
1977,, ,20,1,2012,"12,000",다가구,0,,,11410,73.72,북가좌동, 
1992,, ,6,1,2012,"4,500",단독,0,,,11410,16.5,남가좌동, 
1986,, ,10,1,2012,200,단독,20,,,11410,19,홍제동, 
1992,, ,17,1,2012,"2,200",단독,72,,,11410,70.95,홍제동, 
1992,, ,11,1,2012,"18,000",다가구,0,,,11410,108.9,옥천동, 
1996,, ,28,1,2012,"1,000",다가구,35,,,11410,21,연희동, 
1990,, ,25,1,2012,"1,500",단독,28,,,11410,38.2,북가좌동, 
,, ,16,1,2012,"2,000",단독,50,,,11410,70.56,남가좌동, 
1976,, ,20,1,2012,"1,000",다가구,40,,,11410,41.59,북가좌동, 
1993,, ,12,1,2012,"1,000",다가구,40,,,11410,33.57,북가좌동, 
1992,12.03~14.03,신규,3,2,2012,"1,000",단독,30,,,11410,26.53,홍제동, 
1987,, ,1,2,2012,400,다가구,30,,,11410,50,홍제동, 
1981,, ,16,2,2012,"15,000",단독,0,,,11410,52.47,홍제동, 
1991,, ,14,2,2012,"4,500",단독,0,,,11410,27,북아현동, 
1970,, ,3,2,2012,100,단독,16,,,11410,33.3,홍은동, 
1992,, ,21,2,2012,"3,500",다가구,0,,,11410,33,홍제동, 
1995,, ,19,2,2012,500,다가구,70,,,11410,94.06,홍제동, 
,, ,10,2,2012,"7,000",다가구,0,,,11410,57.42,연희동, 
1990,, ,23,2,2012,"1,000",단독,55,,,11410,44.2,홍제동, 
1992,, ,24,2,2012,"7,500",단독,0,,,11410,66.8,연희동, 
1996,, ,5,3,2012,"8,000",다가구,0,,,11410,15.26,홍은동, 
1991,, ,28,3,2012,800,단독,80,,,11410,66,남가좌동, 
1982,, ,8,3,2012,"5,000",단독,0,,,11410,72.72,북가좌동, 
1993,, ,4,3,2012,"2,000",다가구,40,,,11410,40.1,북아현동, 
1995,, ,21,3,2012,"6,000",다가구,0,,,11410,33,북아현동, 
2011,, ,25,3,2012,"3,000",다가구,50,,,11410,67,북아현동, 
1993,, ,20,3,2012,"1,000",다가구,48,,,11410,29.87,홍제동, 
1989,, ,2,3,2012,"4,000",다가구,0,,,11410,30.805,홍은동, 
,, ,10,3,2012,200,단독,20,,,11410,15.4,홍은동, 
1991,, ,24,3,2012,"4,000",단독,50,,,11410,93.8,남가좌동, 
,12.04~14.04,신규,13,4,2012,"9,000",단독,0,,,11410,42.98,북아현동, 
1991,, ,7,4,2012,"1,000",단독,45,,,11410,99,연희동, 
1989,, ,5,4,2012,"10,000",단독,0,,,11410,49.02,홍은동, 
1985,, ,2,4,2012,"3,000",단독,0,,,11410,36.4,홍은동, 
1974,, ,25,4,2012,500,단독,30,,,11410,25,홍은동, 
1990,, ,5,4,2012,500,다가구,30,,,11410,25,북아현동, 
1998,, ,30,4,2012,"5,000",다가구,0,,,11410,55.67,연희동, 
1994,, ,4,4,2012,"4,000",다가구,0,,,11410,40,홍은동, 
1991,, ,5,4,2012,"5,500",단독,0,,,11410,33,북가좌동, 
,, ,10,4,2012,"2,000",단독,0,,,11410,35,남가좌동, 
1990,12.06~14.06,신규,29,5,2012,"1,000",단독,30,,,11410,69.12,홍제동, 
1995,, ,12,5,2012,500,다가구,30,,,11410,15,연희동, 
2002,, ,11,5,2012,"2,000",단독,38,,,11410,37.5,홍은동, 
1992,, ,2,5,2012,"3,000",다가구,65,,,11410,79.74,북가좌동, 
1984,, ,29,5,2012,"10,000",단독,0,,,11410,81.47,홍제동, 
1992,, ,31,5,2012,"6,500",다가구,0,,,11410,39.82,북아현동, 
1992,, ,25,5,2012,300,다가구,44,,,11410,33,홍제동, 
1993,, ,9,5,2012,500,다가구,45,,,11410,42.54,연희동, 
1991,, ,17,5,2012,"1,000",단독,35,,,11410,24,홍제동, 
1991,, ,10,5,2012,"3,000",다가구,0,,,11410,39.24,홍은동, 
2001,, ,30,6,2012,"2,000",다가구,40,,,11410,10,연희동, 
1991,, ,4,6,2012,"1,000",다가구,50,,,11410,39.6,북아현동, 
1991,, ,5,6,2012,"7,000",다가구,11,,,11410,50.8,홍은동, 
1990,, ,30,6,2012,"1,000",단독,25,,,11410,30.19,남가좌동, 
2005,, ,28,6,2012,"7,000",단독,0,,,11410,86.1,북가좌동, 
1976,12.07~15.07,신규,16,6,2012,50,단독,20,,,11410,39.6,북아현동, 
1993,, ,30,6,2012,"8,000",다가구,0,,,11410,24.95,연희동, 
1991,, ,16,6,2012,"1,000",다가구,45,,,11410,38,홍제동, 
1977,, ,22,6,2012,"9,000",단독,5,,,11410,66,북가좌동, 
1991,, ,19,6,2012,"1,500",다가구,0,,,11410,23,홍은동, 
1967,, ,3,7,2012,"3,000",단독,30,,,11410,52.53,홍제동, 
1980,, ,11,7,2012,"5,000",단독,0,,,11410,33,홍제동, 
,, ,30,7,2012,"6,500",단독,0,,,11410,28.26,충정로3가, 
1997,, ,24,7,2012,200,,45,,,11410,84.8,남가좌동, 
1994,, ,20,7,2012,"1,500",다가구,50,,,11410,66.11,홍은동, 
1986,, ,19,7,2012,"4,500",단독,0,,,11410,58.84,홍은동, 
1985,, ,4,7,2012,"7,500",단독,0,,,11410,51.56,북가좌동, 
1990,, ,27,7,2012,"6,000",단독,10,,,11410,82.44,홍제동, 
1991,, ,14,7,2012,"6,000",단독,0,,,11410,44.76,홍은동, 
1990,, ,27,7,2012,"4,500",다가구,10,,,11410,41.8,홍은동, 
1997,, ,17,8,2012,"2,000",단독,60,,,11410,75.45,북아현동, 
,, ,10,8,2012,"1,500",단독,40,,,11410,46.38,남가좌동, 
1985,, ,28,8,2012,"1,000",단독,32,,,11410,24.2,북아현동, 
1987,, ,20,8,2012,300,단독,23,,,11410,23,홍은동, 
1996,, ,31,8,2012,"7,000",다가구,20,,,11410,63.7,연희동, 
1995,, ,1,8,2012,300,단독,20,,,11410,22.1,홍은동, 
1990,, ,26,8,2012,"4,000",다가구,5,,,11410,39.6,홍은동, 
1993,, ,23,8,2012,300,다가구,30,,,11410,36.36,남가좌동, 
1992,, ,2,8,2012,"4,000",다가구,30,,,11410,51.84,남가좌동, 
,, ,24,8,2012,"3,350",다가구,11,,,11410,49.26,옥천동, 
1968,, ,27,9,2012,"7,000",단독,0,,,11410,65.98,홍제동, 
1992,, ,23,9,2012,"1,000",단독,30,,,11410,27.32,남가좌동, 
1985,, ,5,9,2012,400,단독,30,,,11410,33,홍제동, 
1960,, ,25,9,2012,"2,000",단독,42,,,11410,34.12,홍제동, 
1993,, ,13,9,2012,"3,000",다가구,0,,,11410,37.12,홍은동, 
1960,, ,10,9,2012,"2,000",단독,0,,,11410,15,홍은동, 
1985,, ,5,9,2012,400,단독,33,,,11410,33,홍제동, 
1989,, ,10,9,2012,"7,500",다가구,0,,,11410,43,북가좌동, 
1991,, ,10,9,2012,"1,000",다가구,45,,,11410,43,연희동, 
1984,, ,1,9,2012,"8,000",단독,0,,,11410,50,홍은동, 
1991,, ,25,10,2012,"1,000",다가구,70,,,11410,61.34,홍제동, 
1992,, ,25,10,2012,400,단독,30,,,11410,49.586,연희동, 
1993,, ,19,10,2012,300,다가구,23,,,11410,12.5,남가좌동, 
1991,, ,11,10,2012,"1,000",다가구,40,,,11410,30.96,옥천동, 
1990,, ,11,10,2012,"8,500",단독,0,,,11410,76.0331,홍은동, 
1991,, ,13,10,2012,500,다가구,45,,,11410,33,남가좌동, 
1990,, ,9,10,2012,500,다가구,45,,,11410,52.89,홍제동, 
1983,, ,4,10,2012,"7,000",단독,0,,,11410,45.99,연희동, 
,, ,2,10,2012,"1,000",다가구,48,,,11410,45.27,홍제동, 
1995,, ,15,10,2012,300,단독,30,,,11410,17,옥천동, 
1927,, ,10,11,2012,"3,000",단독,50,,,11410,29.75,냉천동, 
1970,, ,30,11,2012,"2,200",단독,5,,,11410,45,홍은동, 
1991,, ,18,11,2012,300,다가구,30,,,11410,32,북가좌동, 
1992,, ,14,11,2012,"9,000",단독,0,,,11410,65.55,홍제동, 
1990,, ,3,11,2012,"5,000",단독,0,,,11410,31.4,남가좌동, 
,, ,30,11,2012,100,단독,30,,,11410,16.5,홍제동, 
1990,, ,8,11,2012,"1,000",다가구,60,,,11410,54,홍제동, 
1995,, ,25,11,2012,500,다가구,40,,,11410,36.84,홍제동, 
2015,, ,8,11,2012,"4,000",단독,0,,,11410,65.94,북가좌동, 
1989,, ,27,11,2012,"2,000",단독,0,,,11410,19,홍제동, 
1974,, ,31,12,2012,100,단독,20,,,11410,15,북가좌동, 
1988,, ,14,12,2012,"6,000",단독,0,,,11410,41.42,홍은동, 
1985,, ,17,12,2012,"1,000",단독,40,,,11410,41.34,홍은동, 
1983,, ,10,12,2012,500,단독,25,,,11410,20,홍제동, 
1989,, ,22,12,2012,"5,000",다가구,0,,,11410,39.33,홍제동, 
1978,, ,1,12,2012,"9,000",단독,0,,,11410,71.07,북가좌동, 
1985,, ,4,12,2012,"5,000",단독,0,,,11410,29.32,홍은동, 
1991,, ,7,12,2012,"10,000",단독,0,,,11410,175,홍제동, 
1987,, ,7,12,2012,"2,800",단독,32,,,11410,44.55,홍은동, 
1985,, ,8,12,2012,"1,000",다가구,30,,,11410,33.84,홍은동, 
1984,, ,17,1,2013,"2,000",단독,30,,,11410,45,연희동, 
1993,, ,19,1,2013,800,다가구,40,,,11410,46,홍제동, 
2010,, ,1,1,2013,"23,910",다가구,0,,,11410,124.7,연희동, 
1974,, ,28,1,2013,"1,000",단독,30,,,11410,39.6,북가좌동, 
1991,, ,11,1,2013,"10,000",다가구,0,,,11410,73.65,홍은동, 
1985,, ,31,1,2013,"4,000",단독,30,,,11410,32.4,홍은동, 
1968,, ,12,1,2013,500,단독,20,,,11410,20.99,홍제동, 
1975,, ,15,1,2013,"12,000",단독,0,,,11410,76.33,남가좌동, 
1994,, ,2,1,2013,"5,000",다가구,80,,,11410,128.42,홍제동, 
1991,, ,30,1,2013,"7,000",단독,0,,,11410,49.2,남가좌동, 
1991,13.02~15.02,신규,9,2,2013,"3,000",다가구,30,,,11410,14,홍제동, 
1995,, ,16,2,2013,500,다가구,57,,,11410,30,창천동, 
1992,, ,23,2,2013,200,단독,33,,,11410,30,남가좌동, 
1994,, ,5,2,2013,"7,000",단독,0,,,11410,33.28,북아현동, 
1970,, ,27,2,2013,"15,000",단독,0,,,11410,148,연희동, 
1990,, ,24,2,2013,420,단독,40,,,11410,37,홍은동, 
1994,, ,20,2,2013,"3,000",다가구,20,,,11410,35.94,홍은동, 
1994,, ,20,2,2013,"3,000",다가구,20,,,11410,35.94,홍은동, 
1991,, ,8,2,2013,"3,000",단독,0,,,11410,33,홍은동, 
1991,, ,15,2,2013,300,다가구,25,,,11410,59.49,홍은동, 
1998,, ,10,3,2013,"4,000",다가구,50,,,11410,79.2,홍은동, 
1990,, ,29,3,2013,"1,000",다가구,30,,,11410,40,홍제동, 
1988,, ,25,3,2013,200,단독,30,,,11410,33,북가좌동, 
1995,, ,19,3,2013,"3,000",단독,50,,,11410,52.2,옥천동, 
1993,, ,22,3,2013,500,단독,30,,,11410,33,남가좌동, 
1989,, ,15,3,2013,"2,000",다가구,50,,,11410,60.93,남가좌동, 
1993,, ,1,3,2013,500,단독,40,,,11410,39.6,연희동, 
1992,, ,1,3,2013,"6,500",단독,20,,,11410,47.67,북아현동, 
,, ,18,3,2013,"5,000",단독,0,,,11410,49,북가좌동, 
1990,, ,3,3,2013,"5,500",단독,45,,,11410,67.56,연희동, 
1989,, ,18,4,2013,"4,000",단독,0,,,11410,41,연희동, 
1989,, ,27,4,2013,"3,000",단독,0,,,11410,40.37,북가좌동, 
1990,13.04~15.04,신규,12,4,2013,"5,000",다가구,0,,,11410,39.42,북아현동, 
1989,, ,16,4,2013,700,단독,35,,,11410,41.13,홍은동, 
2004,, ,12,4,2013,500,다가구,30,,,11410,13,홍제동, 
1990,, ,5,4,2013,"8,500",단독,0,,,11410,62.46,남가좌동, 
1993,, ,23,4,2013,"2,000",다가구,40,,,11410,45,천연동, 
1989,, ,3,4,2013,"8,500",단독,0,,,11410,51.16,남가좌동, 
1986,, ,30,4,2013,"3,000",단독,0,,,11410,42,홍은동, 
1994,, ,2,4,2013,500,다가구,35,,,11410,38,홍제동, 
1995,, ,1,5,2013,"1,000",다가구,38,,,11410,38,북아현동, 
2003,, ,13,5,2013,"12,000",단독,0,,,11410,77.93,연희동, 
1993,, ,10,5,2013,"2,000",단독,62,,,11410,58.86,남가좌동, 
1991,, ,18,5,2013,500,단독,30,,,11410,30,홍은동, 
1978,, ,20,5,2013,"3,000",단독,45,,,11410,62.81,홍은동, 
1997,, ,26,5,2013,"12,000",다가구,0,,,11410,68.48,북가좌동, 
1995,, ,19,5,2013,"3,000",다가구,0,,,11410,16,창천동, 
1996,, ,29,5,2013,"1,500",다가구,35,,,11410,39.26,홍은동, 
1993,, ,29,5,2013,500,다가구,40,,,11410,36.3,북아현동, 
2012,, ,14,5,2013,"3,000",,30,,,11410,16,연희동, 
1991,, ,3,6,2013,"7,000",다가구,0,,,11410,40,홍제동, 
1991,, ,1,6,2013,"3,500",단독,0,,,11410,49.5,홍제동, 
1989,, ,27,6,2013,"9,000",단독,0,,,11410,69.78,북가좌동, 
1966,, ,14,6,2013,"10,000",단독,0,,,11410,54.49,홍은동, 
,, ,4,6,2013,"7,000",다가구,0,,,11410,72.36,홍은동, 
1990,, ,3,6,2013,"6,000",단독,0,,,11410,51.35,홍은동, 
1996,, ,14,6,2013,"11,000",단독,0,,,11410,53.97,연희동, 
,, ,27,6,2013,"1,000",다가구,30,,,11410,33.59,홍제동, 
1997,, ,28,6,2013,"10,000",다가구,0,,,11410,65.79,영천동, 
1991,, ,17,6,2013,100,단독,39,,,11410,65.58,남가좌동, 
1995,, ,30,7,2013,"8,500",다가구,0,,,11410,39.66,천연동, 
2002,, ,27,7,2013,"6,000",다가구,0,,,11410,42.02,북가좌동, 
1993,, ,1,7,2013,500,다가구,40,,,11410,40,홍은동, 
2003,, ,28,7,2013,"2,000",다가구,40,,,11410,33.33,북가좌동, 
1993,, ,29,7,2013,"1,000",다가구,25,,,11410,30,북가좌동, 
1990,, ,1,7,2013,"1,300",단독,30,,,11410,42.9,북가좌동, 
1996,, ,10,7,2013,"6,000",다가구,0,,,11410,33.06,북아현동, 
1996,, ,24,7,2013,"5,000",다가구,0,,,11410,30,북아현동, 
1990,, ,24,7,2013,"10,000",단독,0,,,11410,65.26,북가좌동, 
1990,, ,24,7,2013,"1,500",단독,50,,,11410,74.58,홍은동, 
1973,, ,26,8,2013,"8,000",단독,0,,,11410,60.3,홍은동, 
1995,, ,15,8,2013,"4,500",다가구,0,,,11410,29.9,연희동, 
1979,, ,23,8,2013,"12,000",단독,0,,,11410,45.89,홍은동, 
1976,, ,29,8,2013,"13,000",단독,0,,,11410,64.3,북가좌동, 
1992,, ,20,8,2013,500,다가구,25,,,11410,33,남가좌동, 
1985,, ,22,8,2013,300,다가구,25,,,11410,25.78,북가좌동, 
1979,, ,23,8,2013,"18,000",단독,0,,,11410,54.88,북가좌동, 
1996,, ,27,8,2013,500,다가구,25,,,11410,20,북가좌동, 
1961,, ,3,8,2013,0,단독,14,,,11410,30.12,홍제동, 
1983,, ,17,8,2013,"2,500",단독,50,,,11410,52.56,남가좌동, 
1991,13.10~15.10,신규,23,9,2013,"2,000",다가구,20,,,11410,31.59,홍은동, 
1990,, ,2,9,2013,"20,000",다가구,0,,,11410,80,북가좌동, 
1993,, ,28,9,2013,"2,000",단독,40,,,11410,49.72,남가좌동, 
1990,, ,2,9,2013,"20,000",다가구,0,,,11410,80,북가좌동, 
,, ,25,9,2013,200,단독,20,,,11410,23,홍은동, 
,, ,14,9,2013,"1,000",단독,20,,,11410,33,홍은동, 
1996,, ,13,9,2013,"1,000",다가구,45,,,11410,73.14,북가좌동, 
1986,, ,22,9,2013,"1,000",단독,35,,,11410,30,홍은동, 
1983,, ,7,9,2013,"3,500",단독,50,,,11410,70.35,홍은동, 
1993,, ,5,9,2013,"3,000",단독,40,,,11410,69.81,홍제동, 
1993,, ,12,10,2013,"1,000",다가구,45,,,11410,40.8,홍제동, 
1992,, ,11,10,2013,500,다가구,20,,,11410,17,홍제동, 
1993,, ,12,10,2013,"1,000",다가구,40,,,11410,42,홍제동, 
1991,, ,31,10,2013,100,단독,20,,,11410,16,북아현동, 
1990,, ,14,10,2013,"6,000",단독,0,,,11410,32,남가좌동, 
1994,, ,31,10,2013,"1,000",다가구,30,,,11410,45,북가좌동, 
1993,, ,15,10,2013,"6,000",다가구,0,,,11410,49.67,홍은동, 
1985,, ,18,10,2013,"7,000",단독,0,,,11410,83.5,홍은동, 
1990,, ,8,10,2013,300,단독,30,,,11410,40,홍은동, 
1986,, ,5,10,2013,"4,000",단독,0,,,11410,39.9,홍제동, 
1989,, ,22,11,2013,"2,000",단독,40,,,11410,63.6,북가좌동, 
1994,, ,15,11,2013,"4,000",다가구,40,,,11410,75.05,남가좌동, 
1974,, ,5,11,2013,"12,000",단독,0,,,11410,68.73,남가좌동, 
1996,, ,11,11,2013,500,단독,45,,,11410,25,연희동, 
1989,, ,9,11,2013,"1,000",단독,50,,,11410,46.29,연희동, 
1990,, ,19,11,2013,"5,000",다가구,8,,,11410,39.2,북아현동, 
1988,, ,5,11,2013,300,단독,23,,,11410,42.9,연희동, 
1997,, ,15,11,2013,"4,000",단독,0,,,11410,46.33,북가좌동, 
1994,, ,7,11,2013,"1,000",다가구,30,,,11410,42.9,홍제동, 
1983,, ,14,11,2013,120,단독,20,,,11410,15,홍제동, 
1973,, ,19,12,2013,"1,000",단독,50,,,11410,79.37,홍은동, 
1995,, ,24,12,2013,500,다가구,30,,,11410,26.37,북아현동, 
1992,, ,4,12,2013,"12,000",다가구,0,,,11410,54.17,홍제동, 
1995,, ,3,12,2013,300,다가구,37,,,11410,65.77,북가좌동, 
1990,, ,15,12,2013,500,단독,30,,,11410,42.9,북가좌동, 
,, ,14,12,2013,500,단독,35,,,11410,59.1986,홍은동, 
1995,, ,13,12,2013,"6,000",다가구,20,,,11410,45,북아현동, 
1970,, ,23,12,2013,800,단독,35,,,11410,31.64,홍제동, 
1967,, ,11,12,2013,100,단독,15,,,11410,15,홍제동, 
1991,, ,18,12,2013,"15,000",다가구,0,,,11410,61,홍제동, 
1989,, ,28,1,2014,"17,000",다가구,0,,,11410,82.32,홍제동, 
1987,, ,5,1,2014,"6,000",단독,20,,,11410,195.12,북가좌동, 
